Date (GMT+1),Nuclear,Non-Renewable,Renewable,Day Ahead Auction (BE)
2024-01-23T00:00+01:00,3959.24,1783.72,4309.8,18.05
2024-01-23T01:00+01:00,3960.17,1773.83,4282.62,12.51
2024-01-23T02:00+01:00,3959.12,1794.61,4184.7,11.58
2024-01-23T03:00+01:00,3957.61,1826.45,4003.02,6.61
2024-01-23T04:00+01:00,3957.06,1844.68,3750.84,12.27
2024-01-23T05:00+01:00,3958.66,1926.07,3546.85,40.3
2024-01-23T06:00+01:00,3959.39,1984.8,3415.92,63.03
2024-01-23T07:00+01:00,3957.27,2258.1,2759.82,83.01
2024-01-23T08:00+01:00,3956.53,2377.53,2709.35,90.63
2024-01-23T09:00+01:00,3956.73,2164.86,3138.61,87.82
2024-01-23T10:00+01:00,3951.12,2166.49,3636.28,90.68
2024-01-23T11:00+01:00,3953.85,2190.46,3823.36,69.58
2024-01-23T12:00+01:00,3955.51,2010.65,4138.79,63.11
2024-01-23T13:00+01:00,3958.89,1971.99,4277.81,61.31
2024-01-23T14:00+01:00,3958.36,1972.44,4230.06,66.08
2024-01-23T15:00+01:00,3957.92,2024.03,4213.66,72.97
2024-01-23T16:00+01:00,3956.09,2064.47,4293.69,71.52
2024-01-23T17:00+01:00,3952.59,2006.5,4475.28,81.2
2024-01-23T18:00+01:00,3951.5,2010.47,4509.71,85.19
2024-01-23T19:00+01:00,3949.41,2038.46,4492.58,76.01
2024-01-23T20:00+01:00,3947.9,1992.2,4490.2,65.02
2024-01-23T21:00+01:00,3946.52,1966.82,4463.19,59.18
2024-01-23T22:00+01:00,3943.88,1873.11,4378.36,49.44
2024-01-23T23:00+01:00,3942.44,1862.96,4397.29,35.17
2024-01-24T00:00+01:00,3941.09,1697.73,4366.25,7.03
2024-01-24T01:00+01:00,3944.58,1718.57,4351.92,4.49
2024-01-24T02:00+01:00,3947.53,1775.79,4376.53,2.58
2024-01-24T03:00+01:00,3948.09,1795.53,4366.89,-1.54
2024-01-24T04:00+01:00,3948.11,1769.95,4376.53,-3.25
2024-01-24T05:00+01:00,3947.34,1752.99,4429.18,1.81
2024-01-24T06:00+01:00,3947.37,1816.74,4428.9,19.75
2024-01-24T07:00+01:00,3949.72,1992.65,4450.91,54.63
2024-01-24T08:00+01:00,3952.87,2026.62,4441.55,69.49
2024-01-24T09:00+01:00,3955.59,2051.72,4739.6,67.86
2024-01-24T10:00+01:00,3950.25,2021.92,5221.32,59.12
2024-01-24T11:00+01:00,3942.43,1966.53,5769.34,53.98
2024-01-24T12:00+01:00,3946.02,1937.09,6137.36,44.05
2024-01-24T13:00+01:00,3950.55,1884.4,5945.61,40.69
2024-01-24T14:00+01:00,3954.03,1920.71,5152.81,48.46
2024-01-24T15:00+01:00,3952.35,2018.2,4444.97,60.32
2024-01-24T16:00+01:00,3951.28,2081.76,3755.41,65.43
2024-01-24T17:00+01:00,3950.28,2177.11,3182.19,74.61
2024-01-24T18:00+01:00,3950.43,2516.22,2749.07,95.9
2024-01-24T19:00+01:00,3949.23,2250.35,2777.44,98.72
2024-01-24T20:00+01:00,3949.92,2183.26,2661.2,95.47
2024-01-24T21:00+01:00,3951.78,2218.8,2650.62,83.42
2024-01-24T22:00+01:00,3950.75,2109.65,2761.78,87.7
2024-01-24T23:00+01:00,3949.06,2104.78,2660.53,92.64
2024-01-25T00:00+01:00,3950.01,2020.19,2083.3,73.8
2024-01-25T01:00+01:00,3952.09,2106.3,1569.99,68.31
2024-01-25T02:00+01:00,3952.65,2132.74,1229.25,69.56
2024-01-25T03:00+01:00,3952.95,2172.13,941.47,61.26
2024-01-25T04:00+01:00,3954.41,2165.31,588.64,63
2024-01-25T05:00+01:00,3955.45,2244.41,444,68.44
2024-01-25T06:00+01:00,3954.83,2508.42,418.28,73.29
2024-01-25T07:00+01:00,3953.6,2892.53,461.04,84.41
2024-01-25T08:00+01:00,3952.33,3234.64,585.35,96.83
2024-01-25T09:00+01:00,3953.07,3189.65,960.46,90.61
2024-01-25T10:00+01:00,3954.84,3178.89,1368.62,83.96
2024-01-25T11:00+01:00,3954.82,3223.58,1731.51,78.66
2024-01-25T12:00+01:00,3952.83,3096.24,1983.73,74.95
2024-01-25T13:00+01:00,3951.99,3016.32,2034.24,73.01
2024-01-25T14:00+01:00,3953.08,3013.54,2276.41,74.59
2024-01-25T15:00+01:00,3954.31,2957.3,2430.08,74.78
2024-01-25T16:00+01:00,3953.93,3085.06,2405.51,81.64
2024-01-25T17:00+01:00,3952.86,3081.63,2649.32,94.69
2024-01-25T18:00+01:00,3952.93,3205.34,2722.09,102.98
2024-01-25T19:00+01:00,3951.25,3347.94,2702.86,97.16
2024-01-25T20:00+01:00,3949.48,3246.87,2626.74,84
2024-01-25T21:00+01:00,3948.54,2560.2,2766.01,77.81
2024-01-25T22:00+01:00,3949.26,2407.43,2906.66,75.01
2024-01-25T23:00+01:00,3950.19,2298.31,3054.27,70.48

